dataset\src1\filters\image\30_vb.jpg,dataset\src1\filters\image\30_vb.txt
dataset\src1\filters\11-10\d540_hb.jpg,dataset\src1\filters\11-10\d540_hb.txt
dataset\src1\filters\image\83_hb.jpg,dataset\src1\filters\image\83_hb.txt
dataset\src1\04-12\cry\1242003_22.jpg,dataset\src1\04-12\cry\1242003_22.txt
dataset\src1\filters\image\85_hb.jpg,dataset\src1\filters\image\85_hb.txt
dataset\src1\93.jpg,dataset\src1\93.txt
dataset\src1\04-12\cry\1242003_71.jpg,dataset\src1\04-12\cry\1242003_71.txt
dataset\src1\image\29.jpg,dataset\src1\image\29.txt
dataset\src1\filters\no_cry\21_vb.jpg,dataset\src1\filters\no_cry\21_vb.txt
dataset\src1\filters\data_1\70_hb.jpg,dataset\src1\filters\data_1\70_hb.txt
dataset\src1\filters\random\z4807708271552_321f4172c0305221a6887e9430f44a30_vb.jpg,dataset\src1\filters\random\z4807708271552_321f4172c0305221a6887e9430f44a30_vb.txt
dataset\src1\filters\random\ken-kaneki-tokyo-ghoul-hd-anime-wallpaper-1080p-1920x1080_vb.jpg,dataset\src1\filters\random\ken-kaneki-tokyo-ghoul-hd-anime-wallpaper-1080p-1920x1080_vb.txt
dataset\src1\filters\src1\129_vb.jpg,dataset\src1\filters\src1\129_vb.txt
dataset\src1\filters\data_1\74_hb.jpg,dataset\src1\filters\data_1\74_hb.txt
dataset\src1\11-10\b480.jpg,dataset\src1\11-10\b480.txt
dataset\src1\filters\cry\1242003_12_vb.jpg,dataset\src1\filters\cry\1242003_12_vb.txt
dataset\src1\139.jpg,dataset\src1\139.txt
dataset\src1\filters\data_1\108_vb.jpg,dataset\src1\filters\data_1\108_vb.txt
dataset\src1\filters\src1\108_vb.jpg,dataset\src1\filters\src1\108_vb.txt
dataset\src1\filters\data_1\89_hb.jpg,dataset\src1\filters\data_1\89_hb.txt
dataset\src1\filters\image\28_vb.jpg,dataset\src1\filters\image\28_vb.txt
dataset\src1\data_1\87.jpg,dataset\src1\data_1\87.txt
dataset\src1\filters\cry\1242003_73_hb.jpg,dataset\src1\filters\cry\1242003_73_hb.txt
dataset\src1\filters\image\95_hb.jpg,dataset\src1\filters\image\95_hb.txt
dataset\src1\filters\image\88_hb.jpg,dataset\src1\filters\image\88_hb.txt
dataset\src1\filters\src1\142_hb.jpg,dataset\src1\filters\src1\142_hb.txt
dataset\src1\filters\image\45_vb.jpg,dataset\src1\filters\image\45_vb.txt
dataset\src1\filters\data_1\83_vb.jpg,dataset\src1\filters\data_1\83_vb.txt
dataset\src1\random\58.png,dataset\src1\random\58.txt
dataset\src1\11-10\c360.jpg,dataset\src1\11-10\c360.txt
dataset\src1\image\107.jpg,dataset\src1\image\107.txt
dataset\src1\image\25.jpg,dataset\src1\image\25.txt
dataset\src1\filters\cry\1242003_64_hb.jpg,dataset\src1\filters\cry\1242003_64_hb.txt
dataset\src1\filters\data_1\91_hb.jpg,dataset\src1\filters\data_1\91_hb.txt
dataset\src1\filters\cry\1242003_63_hb.jpg,dataset\src1\filters\cry\1242003_63_hb.txt
dataset\src1\filters\image\124_hb.jpg,dataset\src1\filters\image\124_hb.txt
dataset\src1\filters\cry\1242003_87_hb.jpg,dataset\src1\filters\cry\1242003_87_hb.txt
dataset\src1\11-10\a960.jpg,dataset\src1\11-10\a960.txt
dataset\src1\11-10\a540.jpg,dataset\src1\11-10\a540.txt
dataset\src1\filters\11-10\c1740_vb.jpg,dataset\src1\filters\11-10\c1740_vb.txt
dataset\src1\filters\image\112_hb.jpg,dataset\src1\filters\image\112_hb.txt
dataset\src1\filters\11-10\a150_hb.jpg,dataset\src1\filters\11-10\a150_hb.txt
dataset\src1\filters\image\90_vb.jpg,dataset\src1\filters\image\90_vb.txt
dataset\src1\image\12.jpg,dataset\src1\image\12.txt
dataset\src1\data_1\57.jpg,dataset\src1\data_1\57.txt
dataset\src1\random\70.png,dataset\src1\random\70.txt
dataset\src1\filters\11-10\a780_vb.jpg,dataset\src1\filters\11-10\a780_vb.txt
dataset\src1\filters\src1\78_hb.jpg,dataset\src1\filters\src1\78_hb.txt
dataset\src1\filters\data_1\121_vb.jpg,dataset\src1\filters\data_1\121_vb.txt
